Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),,,,,,,,,,,,,,,,,,,,,
Pakistan,2008,2.02E+11,2.120441043,1087.514777,0.423,20.28612109,2.689366561,34.34896042,,185931955,2.178889217,,,,,,,,,,,,,,,,,,,,,
Pakistan,2009,1.87E+11,3.472550596,985.3493008,0.535,13.64776506,1.248013055,33.32688559,,190123222,2.229162535,,,,,,,,,,,,,,,,,,,,,
Pakistan,2010,1.97E+11,1.501717522,1011.59718,0.653,12.93887056,1.027911081,31.98899821,28.8,194454498,2.252579345,,,,,,,,,,,,,,,,,,,,,
Pakistan,2011,2.31E+11,2.680116854,1161.044321,0.796,11.91609271,0.575055146,32.36263828,29.7,198602738,2.110834578,,,,,,,,,,,,,,,,,,,,,
Pakistan,2012,2.50E+11,3.027583911,1236.892763,3.667,9.682351861,0.343453049,31.31897077,,202205861,1.79797543,,,,,,,,,,,,,,,,,,,,,
Pakistan,2013,2.59E+11,4.36686505,1259.668368,2.954,7.692156119,0.515353849,30.89027502,29.5,205337562,1.536897649,,,,,,,,,,,,,,,,,,,,,
Pakistan,2014,2.71E+11,4.116428172,1303.18537,1.827,7.189384028,0.695308117,29.46982583,,208251628,1.409182973,,,,,,,,,,,,,,,,,,,,,
Pakistan,2015,3.00E+11,4.217942096,1421.835278,3.566,2.529328173,0.557734356,26.6881846,31.3,210969298,1.296551724,,,,,,,,,,,,,,,,,,,,,
Pakistan,2016,3.14E+11,6.573838285,1468.822082,2.286,3.765119164,0.821349998,24.70157951,,213524840,1.204055673,,,,,,,,,,,,,,,,,,,,,
Pakistan,2017,3.39E+11,4.432625907,1567.640612,3.193,4.08537368,0.73583705,25.47203641,,216379655,1.328135434,,,,,,,,,,,,,,,,,,,,,
Pakistan,2018,3.56E+11,6.151702611,1620.742591,4.083,5.078057259,0.487745751,27.62605637,29.6,219731479,1.537172403,,,,,,,,,,,,,,,,,,,,,
Pakistan,2019,3.21E+11,2.497636929,1437.165833,4.83,10.5783618,0.69614648,28.9055758,,223293280,1.607981347,,,,,,,,,,,,,,,,,,,,,
Pakistan,2020,3.00E+11,-1.274087443,1322.314785,6.162,9.739993139,0.68469529,26.71628046,,227196741,1.73302782,,,,,,,,,,,,,,,,,,,,,
Pakistan,2021,3.49E+11,6.513885759,1506.108293,6.338,9.496210561,0.616039439,27.03042156,,231402117,1.834062082,,,,,,,,,,,,,,,,,,,,,
Pakistan,2022,3.75E+11,4.767539531,1589.26398,5.548,19.87385996,0.390087239,33.04037277,,235824862,1.893245598,,,,,,,,,,,,,,,,,,,,,
Pakistan,2023,3.38E+11,-0.004855269,1407.021351,5.499,30.76812807,0.537284127,28.10207676,,240485658,1.957103432,,,,,,,,,,,,,,,,,,,,,
