Country,Year,GDP,Population
Maldives,2010,2588176055.00,361575
Bhutan,2018,2583335723.00,762096
Bhutan,2020,2457604042.00,772506
Maldives,2009,2345294875.00,349037
Bhutan,2016,2322730512.00,749761
Maldives,2008,2271646188.00,336883
Bhutan,2015,2154921011.00,743274
Bhutan,2014,2057330873.00,736357
Bhutan,2012,1939730676.00,721145
Bhutan,2011,1938441289.00,713331
Bhutan,2013,1913162477.00,728889
Maldives,2007,1868383461.00,325126
Bhutan,2010,1673464261.00,705516
Maldives,2006,1575200391.00,314401
Bhutan,2009,1331343798.00,697678
Bhutan,2008,1317517835.00,689737
Bhutan,2007,1255767964.00,681614
Maldives,2004,1226829563.00,302135
Maldives,2005,1163362438.00,307018
Maldives,2003,1052121055.00,297226
Bhutan,2006,942879878.50,673260
Maldives,2002,897031250.00,292284
Maldives,2001,870031676.80,287324
Bhutan,2005,860391000.20,663323
Bhutan,2004,735348490.40,649991
Bhutan,2003,651935430.30,634627
Maldives,2000,624337145.30,282507
Bhutan,2002,559345263.70,619048
Bhutan,2001,496110225.70,603234
Bhutan,2000,460733418.40,587207
Afghanistan,2023,0.00,42239854
Bhutan,2023,0.00,787424
